Make,Model,Year,MPG City,MPG Highway,Gears,Drive Type,Horsepower,Torque,Length,Height,Width
Acura,2010 Acura MDX,2010,16,21,6,AWD,300,270,3,197,202
Acura,2010 Acura RDX,2010,19,24,5,FWD,240,260,27,119,78
Acura,2010 Acura RL,2010,16,22,5,AWD,300,271,109,175,55
Acura,2010 Acura TL,2010,18,26,5,FWD,280,254,101,172,88
Acura,2010 Acura TSX,2010,21,30,5,FWD,201,170,107,160,48
Acura,2010 Acura ZDX,2010,16,23,6,AWD,300,270,23,60,203
Acura,2011 Acura MDX,2011,16,21,6,AWD,300,270,3,197,202
Acura,2011 Acura RDX,2011,19,24,5,FWD,240,260,27,119,78
Acura,2011 Acura RL,2011,17,24,6,AWD,300,271,109,175,55
Acura,2011 Acura TL,2011,18,26,5,FWD,280,254,101,172,88
Acura,2011 Acura TSX,2011,22,31,5,FWD,201,170,107,160,48
Acura,2011 Acura TSX Sport Wagon,2011,22,30,5,FWD,201,170,197,190,48
Acura,2011 Acura ZDX,2011,16,23,6,AWD,300,270,23,60,203
Acura,2012 Acura MDX,2012,16,21,6,AWD,300,270,3,197,202
Acura,2012 Acura RL,2012,17,24,6,AWD,300,271,109,175,55
Acura,2012 Acura TL,2012,20,29,6,FWD,280,254,63,172,87
Acura,2012 Acura TSX,2012,22,31,5,FWD,201,170,107,160,48
Acura,2012 Acura TSX Sport Wagon,2012,22,30,5,FWD,201,170,197,190,48
Acura,2012 Acura ZDX,2012,16,23,6,AWD,300,270,23,60,203
Aston Martin,2010 Aston Martin DB9 Coup,2010,11,17,6,RWD,470,443,102,246,83
Aston Martin,2010 Aston Martin DB9 Volante,2010,11,17,6,RWD,470,443,102,246,83
Aston Martin,2010 Aston Martin Rapide,2010,13,19,6,RWD,470,443,155,78,92
Aston Martin,2010 Aston Martin V8 Vantage Coup,2010,12,19,6,RWD,420,346,29,233,74
Aston Martin,2010 Aston Martin V8 Vantage Roadster,2010,12,19,6,RWD,420,346,29,246,74
Aston Martin,2011 Aston Martin DB9 Coup,2011,11,17,6,RWD,470,443,102,246,83
